Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Suitable Season
25.59,63.6,46.33,Clayey,Cotton,11,0,11,28-28,Kharif
27.66,53.58,40.96,Red,Cotton,41,0,3,20-20,Kharif
28.27,52.88,43.3,Black,Wheat,40,0,0,10-26-26,Rabi
28.74,56.8,54.07,Loamy,Cotton,15,0,35,DAP,Kharif
26.02,52.46,31.12,Loamy,Barley,11,5,12,10-26-26,"Rabi, Kharif, Zaid, Summer"
30.63,61.45,23.18,Black,Maize,37,2,4,17-17-17,"Kharif, Rabi, Summer"
33.52,60.46,47.85,Black,Pulses,7,15,16,DAP,"Rabi, Kharif"
33.24,69.48,65.48,Clayey,Cotton,8,13,28,10-26-26,Kharif
29.04,71.09,21.12,Sandy,Maize,34,0,3,14-35-14,"Kharif, Rabi, Summer"
38.56,73.46,30.62,Black,Pulses,11,0,32,28-28,"Rabi, Kharif"
30.87,63.94,46.2,Sandy,Cotton,15,0,8,Urea,Kharif
25.83,51.1,59.57,Sandy,Maize,38,4,0,Urea,"Kharif, Rabi, Summer"
31.92,62.59,27.78,Sandy,Pulses,18,0,25,DAP,"Rabi, Kharif"
27.53,55.04,57.07,Sandy,Pulses,4,0,14,28-28,"Rabi, Kharif"
30.82,51.91,54.23,Red,Wheat,15,4,33,14-35-14,Rabi
32.53,59.45,20.16,Loamy,Cotton,9,15,16,17-17-17,Kharif
28.17,58.69,34.11,Sandy,Cotton,12,8,33,20-20,Kharif
29.21,64.21,54.95,Red,Wheat,7,11,31,14-35-14,Rabi
26.01,59.52,35.75,Loamy,Pulses,11,13,15,28-28,"Rabi, Kharif"
29.5,55.42,51.17,Red,Cotton,23,0,23,10-26-26,Kharif
32.98,62.02,33.12,Red,Wheat,40,0,0,10-26-26,Rabi
24.24,59.04,50.07,Loamy,Barley,38,0,1,Urea,"Rabi, Kharif, Zaid, Summer"
33.54,59.28,52.09,Clayey,Wheat,21,3,20,20-20,Rabi
32.19,68.94,67.37,Sandy,Barley,15,0,33,20-20,"Rabi, Kharif, Zaid, Summer"
28.38,52.02,43.83,Loamy,Wheat,13,0,38,10-26-26,Rabi
25.4,43.57,38.51,Red,Maize,36,0,0,28-28,"Kharif, Rabi, Summer"
34.95,64.93,62.63,Clayey,Wheat,31,1,0,14-35-14,Rabi
35.56,74.88,52.16,Clayey,Cotton,20,0,21,14-35-14,Kharif
23.42,53.65,69.68,Sandy,Barley,11,3,14,20-20,"Rabi, Kharif, Zaid, Summer"
31.03,69.0,49.46,Loamy,Maize,19,0,19,20-20,"Kharif, Rabi, Summer"
31.78,44.27,45.07,Loamy,Maize,5,8,32,DAP,"Kharif, Rabi, Summer"
26.39,52.62,22.27,Sandy,Cotton,8,1,43,17-17-17,Kharif
26.75,56.87,20.0,Clayey,Barley,12,6,30,17-17-17,"Rabi, Kharif, Zaid, Summer"
29.89,48.59,38.0,Clayey,Pulses,26,0,21,28-28,"Rabi, Kharif"
21.78,55.6,33.66,Loamy,Maize,37,3,0,10-26-26,"Kharif, Rabi, Summer"
30.42,70.37,55.92,Red,Wheat,2,5,25,17-17-17,Rabi
35.39,52.28,42.97,Sandy,Pulses,10,17,12,10-26-26,"Rabi, Kharif"
38.4,67.88,62.06,Clayey,Maize,11,11,16,28-28,"Kharif, Rabi, Summer"
33.59,66.16,69.67,Sandy,Pulses,12,13,27,20-20,"Rabi, Kharif"
26.75,58.1,39.27,Clayey,Maize,19,0,20,14-35-14,"Kharif, Rabi, Summer"
27.31,57.3,22.41,Loamy,Wheat,34,1,0,Urea,Rabi
22.59,45.7,33.13,Black,Maize,38,0,4,14-35-14,"Kharif, Rabi, Summer"
31.52,44.64,42.86,Red,Barley,13,0,35,28-28,"Rabi, Kharif, Zaid, Summer"
30.64,57.57,46.45,Red,Wheat,12,4,13,20-20,Rabi
36.5,65.85,42.33,Loamy,Maize,5,10,32,10-26-26,"Kharif, Rabi, Summer"
35.13,65.69,37.76,Black,Maize,8,4,6,28-28,"Kharif, Rabi, Summer"
29.77,46.18,63.79,Loamy,Cotton,5,3,14,10-26-26,Kharif
30.15,60.77,42.93,Clayey,Cotton,44,0,0,Urea,Kharif
29.37,64.45,64.66,Black,Cotton,38,0,0,10-26-26,Kharif
30.41,67.24,65.58,Loamy,Cotton,3,8,34,17-17-17,Kharif
31.9,55.45,59.87,Sandy,Barley,12,0,37,14-35-14,"Rabi, Kharif, Zaid, Summer"
35.85,52.79,54.13,Clayey,Cotton,16,13,16,17-17-17,Kharif
28.87,49.91,35.02,Red,Pulses,20,0,23,10-26-26,"Rabi, Kharif"
31.56,55.15,56.8,Red,Barley,9,0,35,DAP,"Rabi, Kharif, Zaid, Summer"
34.15,63.96,47.64,Red,Barley,11,0,14,14-35-14,"Rabi, Kharif, Zaid, Summer"
30.7,57.71,38.36,Sandy,Wheat,9,4,18,28-28,Rabi
26.7,63.42,24.65,Sandy,Cotton,13,1,42,17-17-17,Kharif
25.73,52.9,46.14,Red,Cotton,21,0,18,20-20,Kharif
25.36,50.91,24.39,Loamy,Wheat,13,0,10,20-20,Rabi
26.44,65.84,50.2,Clayey,Pulses,10,0,9,28-28,"Rabi, Kharif"
28.93,50.28,20.33,Red,Wheat,8,0,12,Urea,Rabi
30.06,53.68,70.0,Sandy,Maize,7,6,34,20-20,"Kharif, Rabi, Summer"
35.29,64.13,46.59,Clayey,Pulses,16,13,13,14-35-14,"Rabi, Kharif"
24.61,63.9,70.0,Loamy,Pulses,41,2,0,DAP,"Rabi, Kharif"
30.2,51.16,32.5,Red,Barley,20,0,19,DAP,"Rabi, Kharif, Zaid, Summer"
31.1,55.48,46.43,Sandy,Cotton,34,0,2,Urea,Kharif
31.75,62.4,34.97,Black,Wheat,17,0,15,Urea,Rabi
27.29,57.56,53.09,Black,Pulses,15,11,11,20-20,"Rabi, Kharif"
29.73,58.67,29.64,Red,Barley,17,0,20,17-17-17,"Rabi, Kharif, Zaid, Summer"
25.93,54.07,23.84,Loamy,Maize,8,13,12,14-35-14,"Kharif, Rabi, Summer"
26.47,55.37,59.34,Sandy,Maize,11,1,12,20-20,"Kharif, Rabi, Summer"
21.92,53.0,33.57,Black,Barley,18,0,42,17-17-17,"Rabi, Kharif, Zaid, Summer"
28.29,60.24,33.44,Black,Pulses,33,0,2,DAP,"Rabi, Kharif"
31.31,73.26,70.0,Loamy,Pulses,11,2,41,14-35-14,"Rabi, Kharif"
30.05,58.21,23.31,Loamy,Cotton,43,0,0,17-17-17,Kharif
24.51,62.55,65.83,Loamy,Pulses,13,4,5,Urea,"Rabi, Kharif"
23.66,55.66,31.32,Red,Wheat,38,0,2,20-20,Rabi
35.01,71.58,39.2,Black,Wheat,9,0,16,14-35-14,Rabi
36.92,69.78,32.64,Clayey,Maize,12,2,31,14-35-14,"Kharif, Rabi, Summer"
27.77,42.89,59.1,Red,Barley,6,2,13,Urea,"Rabi, Kharif, Zaid, Summer"
39.65,63.55,47.33,Red,Cotton,3,12,30,Urea,Kharif
37.27,64.08,36.28,Red,Barley,15,4,45,20-20,"Rabi, Kharif, Zaid, Summer"
27.93,64.17,62.13,Black,Pulses,7,0,6,20-20,"Rabi, Kharif"
23.82,47.74,30.62,Black,Cotton,2,20,12,17-17-17,Kharif
34.57,69.61,57.23,Clayey,Pulses,38,0,0,DAP,"Rabi, Kharif"
35.1,70.14,56.12,Loamy,Pulses,16,0,44,20-20,"Rabi, Kharif"
33.71,59.42,29.32,Black,Barley,16,0,38,14-35-14,"Rabi, Kharif, Zaid, Summer"
24.75,45.31,49.7,Clayey,Cotton,23,0,23,10-26-26,Kharif
32.22,56.29,48.76,Black,Maize,35,0,2,10-26-26,"Kharif, Rabi, Summer"
40.0,80.0,59.99,Clayey,Cotton,42,0,0,10-26-26,Kharif
25.85,62.32,48.82,Red,Cotton,33,3,0,DAP,Kharif
30.61,66.36,42.09,Red,Barley,8,22,18,DAP,"Rabi, Kharif, Zaid, Summer"
34.51,54.79,54.12,Loamy,Maize,5,6,26,28-28,"Kharif, Rabi, Summer"
31.75,46.82,37.35,Red,Maize,16,0,15,DAP,"Kharif, Rabi, Summer"
30.97,58.53,29.79,Loamy,Wheat,10,21,13,17-17-17,Rabi
29.87,63.64,61.4,Black,Wheat,15,16,10,20-20,Rabi
25.09,54.56,34.08,Red,Maize,19,0,21,28-28,"Kharif, Rabi, Summer"
29.76,45.13,30.91,Red,Cotton,35,2,0,DAP,Kharif
26.91,44.27,23.76,Loamy,Barley,18,0,45,10-26-26,"Rabi, Kharif, Zaid, Summer"
31.98,55.89,57.6,Red,Barley,37,4,0,17-17-17,"Rabi, Kharif, Zaid, Summer"
31.38,67.84,59.74,Loamy,Maize,12,0,34,10-26-26,"Kharif, Rabi, Summer"
29.08,54.19,61.72,Clayey,Maize,41,0,1,14-35-14,"Kharif, Rabi, Summer"
40.0,60.8,50.41,Black,Cotton,12,10,23,10-26-26,Kharif
32.61,54.79,70.0,Black,Barley,40,4,0,Urea,"Rabi, Kharif, Zaid, Summer"
23.88,57.05,35.25,Loamy,Barley,40,3,0,20-20,"Rabi, Kharif, Zaid, Summer"
30.78,64.7,35.01,Clayey,Pulses,14,0,12,10-26-26,"Rabi, Kharif"
32.0,57.73,35.48,Black,Wheat,42,0,0,10-26-26,Rabi
34.22,56.39,49.89,Red,Pulses,25,0,19,14-35-14,"Rabi, Kharif"
36.56,76.26,36.26,Sandy,Wheat,7,11,34,10-26-26,Rabi
37.0,62.94,55.83,Loamy,Pulses,35,1,0,20-20,"Rabi, Kharif"
31.96,49.13,52.38,Loamy,Maize,8,0,38,10-26-26,"Kharif, Rabi, Summer"
38.65,62.79,58.95,Black,Cotton,10,0,43,20-20,Kharif
26.11,52.09,44.94,Black,Pulses,25,4,22,Urea,"Rabi, Kharif"
39.68,75.02,51.69,Clayey,Barley,3,4,31,14-35-14,"Rabi, Kharif, Zaid, Summer"
38.0,61.23,26.32,Black,Wheat,9,4,38,17-17-17,Rabi
36.29,71.0,56.12,Black,Barley,38,0,0,DAP,"Rabi, Kharif, Zaid, Summer"
32.76,61.99,68.62,Black,Pulses,13,0,38,DAP,"Rabi, Kharif"
33.01,61.9,32.87,Sandy,Wheat,41,3,1,28-28,Rabi
30.15,68.23,37.36,Sandy,Wheat,11,0,9,28-28,Rabi
31.08,61.81,34.73,Red,Wheat,38,3,0,DAP,Rabi
34.99,65.23,27.62,Clayey,Maize,1,17,13,10-26-26,"Kharif, Rabi, Summer"
37.61,61.11,36.72,Loamy,Barley,10,2,42,Urea,"Rabi, Kharif, Zaid, Summer"
36.02,69.03,54.45,Sandy,Barley,21,0,22,20-20,"Rabi, Kharif, Zaid, Summer"
29.87,56.39,37.84,Sandy,Cotton,13,4,6,10-26-26,Kharif
34.94,57.44,52.37,Sandy,Wheat,5,3,5,DAP,Rabi
37.33,67.17,37.59,Loamy,Maize,11,0,42,10-26-26,"Kharif, Rabi, Summer"
33.56,66.29,26.04,Clayey,Wheat,43,2,2,14-35-14,Rabi
30.78,50.3,52.95,Clayey,Barley,25,0,22,20-20,"Rabi, Kharif, Zaid, Summer"
31.26,67.75,26.57,Black,Barley,23,2,22,Urea,"Rabi, Kharif, Zaid, Summer"
32.24,55.75,45.85,Black,Pulses,44,0,0,20-20,"Rabi, Kharif"
31.18,60.59,20.77,Black,Pulses,12,0,42,28-28,"Rabi, Kharif"
28.92,49.12,20.0,Black,Pulses,11,14,31,17-17-17,"Rabi, Kharif"
36.08,74.86,38.71,Red,Wheat,8,20,21,10-26-26,Rabi
28.66,47.45,44.04,Loamy,Wheat,36,0,4,20-20,Rabi
28.24,54.62,35.02,Clayey,Wheat,10,0,12,DAP,Rabi
33.95,61.0,45.29,Clayey,Maize,18,3,17,17-17-17,"Kharif, Rabi, Summer"
33.25,69.66,51.62,Sandy,Maize,36,0,4,Urea,"Kharif, Rabi, Summer"
30.25,72.59,57.4,Black,Pulses,4,0,15,28-28,"Rabi, Kharif"
29.05,52.0,53.16,Black,Cotton,19,0,15,28-28,Kharif
26.4,57.87,57.72,Sandy,Cotton,36,0,2,14-35-14,Kharif
33.24,51.28,65.32,Black,Pulses,5,14,29,Urea,"Rabi, Kharif"
27.41,52.54,41.48,Black,Barley,9,0,10,Urea,"Rabi, Kharif, Zaid, Summer"
32.64,77.53,39.18,Clayey,Maize,12,0,34,20-20,"Kharif, Rabi, Summer"
27.61,71.93,41.84,Red,Barley,18,0,29,17-17-17,"Rabi, Kharif, Zaid, Summer"
36.71,76.2,24.17,Sandy,Barley,10,0,17,14-35-14,"Rabi, Kharif, Zaid, Summer"
38.33,70.83,45.85,Loamy,Cotton,1,14,17,Urea,Kharif
31.36,44.29,43.74,Sandy,Pulses,10,0,40,17-17-17,"Rabi, Kharif"
31.97,57.04,39.26,Loamy,Maize,23,0,26,10-26-26,"Kharif, Rabi, Summer"
30.18,68.42,36.95,Clayey,Barley,34,2,1,17-17-17,"Rabi, Kharif, Zaid, Summer"
25.23,62.86,38.43,Red,Cotton,41,0,4,20-20,Kharif
37.04,68.38,51.4,Red,Maize,4,9,28,28-28,"Kharif, Rabi, Summer"
27.34,63.01,48.83,Black,Cotton,21,2,23,10-26-26,Kharif
30.29,69.44,58.64,Clayey,Pulses,40,0,0,14-35-14,"Rabi, Kharif"
33.48,62.18,48.6,Black,Wheat,9,3,13,20-20,Rabi
29.56,70.11,44.74,Sandy,Wheat,44,0,0,20-20,Rabi
33.71,58.93,43.88,Loamy,Barley,18,0,33,DAP,"Rabi, Kharif, Zaid, Summer"
21.93,44.5,63.49,Red,Maize,15,1,7,14-35-14,"Kharif, Rabi, Summer"
33.53,60.05,37.18,Red,Maize,12,1,40,20-20,"Kharif, Rabi, Summer"
34.68,58.89,27.43,Sandy,Pulses,39,1,0,28-28,"Rabi, Kharif"
24.06,40.2,34.24,Black,Wheat,2,19,12,10-26-26,Rabi
31.33,52.44,48.45,Black,Maize,40,0,2,DAP,"Kharif, Rabi, Summer"
32.64,71.49,45.45,Black,Maize,9,17,16,14-35-14,"Kharif, Rabi, Summer"
25.3,51.45,24.59,Sandy,Barley,9,9,32,17-17-17,"Rabi, Kharif, Zaid, Summer"
31.71,58.44,35.47,Loamy,Pulses,14,0,34,Urea,"Rabi, Kharif"
25.28,55.82,32.12,Clayey,Barley,6,12,13,10-26-26,"Rabi, Kharif, Zaid, Summer"
32.38,58.5,45.02,Red,Wheat,8,0,38,20-20,Rabi
26.91,52.52,30.81,Black,Cotton,17,3,41,28-28,Kharif
25.99,55.37,65.56,Sandy,Wheat,9,4,12,28-28,Rabi
33.65,66.5,65.99,Black,Wheat,9,8,32,DAP,Rabi
29.23,55.19,29.27,Red,Wheat,20,2,20,28-28,Rabi
26.92,56.83,44.88,Loamy,Wheat,34,2,3,Urea,Rabi
35.8,55.37,57.55,Clayey,Maize,7,8,27,14-35-14,"Kharif, Rabi, Summer"
29.38,54.47,52.56,Sandy,Maize,22,0,24,14-35-14,"Kharif, Rabi, Summer"
32.53,60.02,29.35,Clayey,Wheat,10,4,42,Urea,Rabi
32.66,74.93,33.56,Black,Pulses,13,0,12,17-17-17,"Rabi, Kharif"
34.63,63.8,24.01,Black,Maize,11,0,38,Urea,"Kharif, Rabi, Summer"
28.04,55.51,49.43,Sandy,Wheat,40,0,4,28-28,Rabi
22.34,53.62,38.61,Red,Wheat,16,1,5,17-17-17,Rabi
34.35,66.79,51.52,Black,Wheat,4,9,24,17-17-17,Rabi
26.95,50.63,43.0,Sandy,Barley,28,0,14,10-26-26,"Rabi, Kharif, Zaid, Summer"
26.39,54.79,46.15,Sandy,Wheat,25,0,19,DAP,Rabi
35.71,67.62,25.16,Red,Pulses,35,0,2,17-17-17,"Rabi, Kharif"
28.88,60.85,28.57,Clayey,Barley,19,0,40,10-26-26,"Rabi, Kharif, Zaid, Summer"
23.12,58.63,37.49,Black,Cotton,33,3,0,14-35-14,Kharif
33.55,60.65,58.59,Red,Wheat,8,2,9,20-20,Rabi
30.15,64.35,67.45,Black,Pulses,14,12,11,20-20,"Rabi, Kharif"
25.65,62.92,28.49,Sandy,Barley,44,0,2,14-35-14,"Rabi, Kharif, Zaid, Summer"
30.09,54.43,60.02,Red,Maize,12,0,31,17-17-17,"Kharif, Rabi, Summer"
38.38,65.51,46.26,Black,Maize,9,18,17,28-28,"Kharif, Rabi, Summer"
33.5,53.07,46.85,Red,Cotton,24,0,29,17-17-17,Kharif
37.95,68.37,55.82,Loamy,Pulses,37,4,0,14-35-14,"Rabi, Kharif"
30.98,72.26,70.0,Sandy,Wheat,3,6,26,14-35-14,Rabi
30.37,74.96,45.96,Sandy,Maize,3,18,20,Urea,"Kharif, Rabi, Summer"
36.58,61.79,40.55,Loamy,Maize,16,2,44,DAP,"Kharif, Rabi, Summer"
26.45,60.78,50.52,Sandy,Wheat,18,0,24,28-28,Rabi
25.6,52.6,54.46,Red,Maize,13,0,13,Urea,"Kharif, Rabi, Summer"
29.39,53.28,40.12,Loamy,Pulses,17,0,21,Urea,"Rabi, Kharif"
37.32,76.39,48.4,Loamy,Cotton,9,20,18,28-28,Kharif
39.82,70.94,30.3,Loamy,Pulses,8,3,30,28-28,"Rabi, Kharif"
30.18,53.72,36.61,Red,Barley,10,0,14,17-17-17,"Rabi, Kharif, Zaid, Summer"
32.53,56.27,29.85,Clayey,Pulses,33,0,0,17-17-17,"Rabi, Kharif"
33.72,50.47,44.08,Black,Pulses,11,0,16,10-26-26,"Rabi, Kharif"
26.63,56.66,45.46,Red,Pulses,23,1,21,DAP,"Rabi, Kharif"
35.09,63.88,46.21,Loamy,Cotton,26,4,25,20-20,Kharif
31.21,56.6,34.03,Sandy,Wheat,18,2,40,14-35-14,Rabi
34.72,67.85,69.81,Loamy,Barley,4,4,29,Urea,"Rabi, Kharif, Zaid, Summer"
23.38,55.92,50.56,Clayey,Wheat,7,20,19,14-35-14,Rabi
29.71,50.93,41.83,Sandy,Wheat,12,4,39,14-35-14,Rabi
25.87,69.73,28.7,Clayey,Wheat,16,2,40,17-17-17,Rabi
30.53,63.85,56.3,Sandy,Barley,39,1,1,20-20,"Rabi, Kharif, Zaid, Summer"
37.38,70.59,66.29,Sandy,Maize,8,2,17,20-20,"Kharif, Rabi, Summer"
25.23,48.23,21.3,Black,Maize,13,17,13,Urea,"Kharif, Rabi, Summer"
28.45,55.92,48.02,Black,Cotton,18,2,19,17-17-17,Kharif
29.64,54.26,30.97,Black,Cotton,8,2,11,Urea,Kharif
30.83,64.19,23.01,Clayey,Pulses,8,2,27,Urea,"Rabi, Kharif"
35.15,65.46,50.44,Red,Pulses,24,4,19,Urea,"Rabi, Kharif"
31.18,72.57,46.74,Loamy,Maize,9,7,27,14-35-14,"Kharif, Rabi, Summer"
23.69,57.9,39.61,Sandy,Cotton,6,11,31,14-35-14,Kharif
37.65,60.86,24.45,Black,Maize,7,0,34,10-26-26,"Kharif, Rabi, Summer"
31.22,74.54,61.36,Sandy,Maize,9,0,38,Urea,"Kharif, Rabi, Summer"
38.75,58.17,52.93,Loamy,Maize,33,0,3,28-28,"Kharif, Rabi, Summer"
29.13,47.06,44.06,Red,Pulses,1,17,12,20-20,"Rabi, Kharif"
28.65,62.64,41.6,Loamy,Pulses,30,0,1,DAP,"Rabi, Kharif"
20.54,40.79,56.58,Clayey,Cotton,32,0,2,28-28,Kharif
27.19,62.12,35.74,Red,Cotton,45,0,0,Urea,Kharif
28.91,67.6,39.3,Red,Pulses,9,4,12,DAP,"Rabi, Kharif"
40.0,63.37,45.26,Sandy,Maize,36,0,0,14-35-14,"Kharif, Rabi, Summer"
32.81,73.39,41.77,Sandy,Pulses,6,2,36,28-28,"Rabi, Kharif"
36.48,66.13,30.41,Black,Cotton,13,4,9,DAP,Kharif
29.72,53.18,42.19,Sandy,Cotton,19,3,33,DAP,Kharif
34.34,55.85,27.98,Black,Wheat,39,0,0,28-28,Rabi
27.34,55.87,43.75,Clayey,Pulses,38,0,0,10-26-26,"Rabi, Kharif"
29.55,59.76,58.15,Clayey,Wheat,12,0,12,14-35-14,Rabi
24.94,66.7,66.09,Sandy,Pulses,7,0,10,17-17-17,"Rabi, Kharif"
21.74,44.09,59.39,Sandy,Barley,10,17,19,Urea,"Rabi, Kharif, Zaid, Summer"
30.28,63.74,54.26,Loamy,Pulses,35,0,0,17-17-17,"Rabi, Kharif"
23.22,49.73,51.54,Clayey,Pulses,20,0,22,20-20,"Rabi, Kharif"
35.79,55.43,70.0,Black,Maize,15,7,16,DAP,"Kharif, Rabi, Summer"
38.68,77.89,35.76,Loamy,Maize,10,11,26,14-35-14,"Kharif, Rabi, Summer"
34.07,60.31,40.04,Red,Barley,13,0,40,20-20,"Rabi, Kharif, Zaid, Summer"
31.49,71.13,61.76,Black,Barley,10,0,33,28-28,"Rabi, Kharif, Zaid, Summer"
30.84,59.19,45.38,Loamy,Wheat,21,0,23,14-35-14,Rabi
34.3,52.7,60.28,Sandy,Wheat,9,8,25,20-20,Rabi
31.13,73.3,29.78,Loamy,Barley,3,3,29,DAP,"Rabi, Kharif, Zaid, Summer"
32.15,54.75,62.62,Loamy,Cotton,12,2,38,DAP,Kharif
24.23,54.91,32.3,Loamy,Maize,10,20,17,20-20,"Kharif, Rabi, Summer"
28.51,48.44,45.73,Black,Cotton,12,1,33,Urea,Kharif
33.59,54.6,51.9,Loamy,Barley,10,0,45,Urea,"Rabi, Kharif, Zaid, Summer"
28.74,44.89,43.99,Black,Cotton,18,1,22,14-35-14,Kharif
30.34,64.88,34.89,Sandy,Barley,14,0,9,17-17-17,"Rabi, Kharif, Zaid, Summer"
35.14,69.39,45.5,Black,Wheat,12,0,39,Urea,Rabi
29.61,55.37,42.37,Clayey,Barley,44,0,4,10-26-26,"Rabi, Kharif, Zaid, Summer"
39.34,73.55,37.74,Sandy,Barley,12,1,41,10-26-26,"Rabi, Kharif, Zaid, Summer"
25.49,58.9,27.75,Sandy,Maize,10,0,10,10-26-26,"Kharif, Rabi, Summer"
30.35,62.68,46.39,Black,Cotton,38,0,1,20-20,Kharif
30.84,76.53,34.0,Loamy,Cotton,11,0,39,Urea,Kharif
29.54,46.05,47.43,Clayey,Maize,10,22,13,10-26-26,"Kharif, Rabi, Summer"
29.6,65.96,27.64,Sandy,Maize,18,2,21,DAP,"Kharif, Rabi, Summer"
32.18,62.78,23.55,Loamy,Pulses,4,4,30,20-20,"Rabi, Kharif"
37.33,59.48,53.07,Clayey,Wheat,14,0,38,DAP,Rabi
30.67,50.16,40.76,Black,Cotton,14,0,10,17-17-17,Kharif
29.25,53.85,33.95,Red,Maize,18,1,20,14-35-14,"Kharif, Rabi, Summer"
26.51,60.56,35.77,Loamy,Barley,10,0,9,DAP,"Rabi, Kharif, Zaid, Summer"
31.93,61.7,61.0,Loamy,Pulses,3,11,29,17-17-17,"Rabi, Kharif"
38.76,72.35,28.4,Black,Pulses,18,0,16,28-28,"Rabi, Kharif"
22.81,48.89,28.47,Loamy,Maize,16,0,11,20-20,"Kharif, Rabi, Summer"
38.07,62.7,66.49,Red,Maize,31,0,0,20-20,"Kharif, Rabi, Summer"
24.17,62.74,42.08,Black,Wheat,39,0,3,17-17-17,Rabi
37.98,57.42,48.64,Loamy,Pulses,4,0,8,10-26-26,"Rabi, Kharif"
32.02,53.18,50.78,Sandy,Cotton,21,3,17,Urea,Kharif
29.17,59.16,55.51,Loamy,Wheat,14,18,8,14-35-14,Rabi
28.05,53.77,30.81,Loamy,Pulses,35,4,1,20-20,"Rabi, Kharif"
32.12,70.24,29.28,Red,Barley,10,0,35,20-20,"Rabi, Kharif, Zaid, Summer"
31.52,56.11,29.79,Clayey,Pulses,22,2,21,Urea,"Rabi, Kharif"
37.61,56.44,61.31,Sandy,Maize,6,13,31,17-17-17,"Kharif, Rabi, Summer"
