Temparature,Humidity,Soil Type,Crop Type,Suitable Season
28.66,47.45,Loamy,Wheat,Rabi
28.24,54.62,Clayey,Wheat,Rabi
33.95,61.0,Clayey,Maize,"Kharif, Rabi, Summer"
33.25,69.66,Sandy,Maize,"Kharif, Rabi, Summer"
30.25,72.59,Black,Pulses,"Rabi, Kharif"
29.05,52.0,Black,Cotton,Kharif
26.4,57.87,Sandy,Cotton,Kharif
33.24,51.28,Black,Pulses,"Rabi, Kharif"
27.41,52.54,Black,Barley,"Rabi, Kharif, Zaid, Summer"
32.64,77.53,Clayey,Maize,"Kharif, Rabi, Summer"
27.61,71.93,Red,Barley,"Rabi, Kharif, Zaid, Summer"
36.71,76.2,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
38.33,70.83,Loamy,Cotton,Kharif
31.36,44.29,Sandy,Pulses,"Rabi, Kharif"
31.97,57.04,Loamy,Maize,"Kharif, Rabi, Summer"
30.18,68.42,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
25.23,62.86,Red,Cotton,Kharif
37.04,68.38,Red,Maize,"Kharif, Rabi, Summer"
27.34,63.01,Black,Cotton,Kharif
30.29,69.44,Clayey,Pulses,"Rabi, Kharif"
33.48,62.18,Black,Wheat,Rabi
29.56,70.11,Sandy,Wheat,Rabi
33.71,58.93,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
21.93,44.5,Red,Maize,"Kharif, Rabi, Summer"
33.53,60.05,Red,Maize,"Kharif, Rabi, Summer"
34.68,58.89,Sandy,Pulses,"Rabi, Kharif"
24.06,40.2,Black,Wheat,Rabi
31.33,52.44,Black,Maize,"Kharif, Rabi, Summer"
32.64,71.49,Black,Maize,"Kharif, Rabi, Summer"
25.3,51.45,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
31.71,58.44,Loamy,Pulses,"Rabi, Kharif"
25.28,55.82,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
32.38,58.5,Red,Wheat,Rabi
26.91,52.52,Black,Cotton,Kharif
25.99,55.37,Sandy,Wheat,Rabi
33.65,66.5,Black,Wheat,Rabi
29.23,55.19,Red,Wheat,Rabi
26.92,56.83,Loamy,Wheat,Rabi
35.8,55.37,Clayey,Maize,"Kharif, Rabi, Summer"
29.38,54.47,Sandy,Maize,"Kharif, Rabi, Summer"
32.53,60.02,Clayey,Wheat,Rabi
32.66,74.93,Black,Pulses,"Rabi, Kharif"
34.63,63.8,Black,Maize,"Kharif, Rabi, Summer"
28.04,55.51,Sandy,Wheat,Rabi
22.34,53.62,Red,Wheat,Rabi
34.35,66.79,Black,Wheat,Rabi
26.95,50.63,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
26.39,54.79,Sandy,Wheat,Rabi
35.71,67.62,Red,Pulses,"Rabi, Kharif"
28.88,60.85,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
23.12,58.63,Black,Cotton,Kharif
33.55,60.65,Red,Wheat,Rabi
30.15,64.35,Black,Pulses,"Rabi, Kharif"
25.65,62.92,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
30.09,54.43,Red,Maize,"Kharif, Rabi, Summer"
38.38,65.51,Black,Maize,"Kharif, Rabi, Summer"
33.5,53.07,Red,Cotton,Kharif
37.95,68.37,Loamy,Pulses,"Rabi, Kharif"
30.98,72.26,Sandy,Wheat,Rabi
30.37,74.96,Sandy,Maize,"Kharif, Rabi, Summer"
36.58,61.79,Loamy,Maize,"Kharif, Rabi, Summer"
26.45,60.78,Sandy,Wheat,Rabi
25.6,52.6,Red,Maize,"Kharif, Rabi, Summer"
29.39,53.28,Loamy,Pulses,"Rabi, Kharif"
37.32,76.39,Loamy,Cotton,Kharif
39.82,70.94,Loamy,Pulses,"Rabi, Kharif"
30.18,53.72,Red,Barley,"Rabi, Kharif, Zaid, Summer"
32.53,56.27,Clayey,Pulses,"Rabi, Kharif"
33.72,50.47,Black,Pulses,"Rabi, Kharif"
26.63,56.66,Red,Pulses,"Rabi, Kharif"
35.09,63.88,Loamy,Cotton,Kharif
31.21,56.6,Sandy,Wheat,Rabi
34.72,67.85,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
23.38,55.92,Clayey,Wheat,Rabi
29.71,50.93,Sandy,Wheat,Rabi
25.87,69.73,Clayey,Wheat,Rabi
30.53,63.85,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
37.38,70.59,Sandy,Maize,"Kharif, Rabi, Summer"
25.23,48.23,Black,Maize,"Kharif, Rabi, Summer"
28.45,55.92,Black,Cotton,Kharif
29.64,54.26,Black,Cotton,Kharif
30.83,64.19,Clayey,Pulses,"Rabi, Kharif"
35.15,65.46,Red,Pulses,"Rabi, Kharif"
31.18,72.57,Loamy,Maize,"Kharif, Rabi, Summer"
23.69,57.9,Sandy,Cotton,Kharif
37.65,60.86,Black,Maize,"Kharif, Rabi, Summer"
31.22,74.54,Sandy,Maize,"Kharif, Rabi, Summer"
38.75,58.17,Loamy,Maize,"Kharif, Rabi, Summer"
29.13,47.06,Red,Pulses,"Rabi, Kharif"
28.65,62.64,Loamy,Pulses,"Rabi, Kharif"
20.54,40.79,Clayey,Cotton,Kharif
27.19,62.12,Red,Cotton,Kharif
28.91,67.6,Red,Pulses,"Rabi, Kharif"
40.0,63.37,Sandy,Maize,"Kharif, Rabi, Summer"
32.81,73.39,Sandy,Pulses,"Rabi, Kharif"
36.48,66.13,Black,Cotton,Kharif
29.72,53.18,Sandy,Cotton,Kharif
34.34,55.85,Black,Wheat,Rabi
27.34,55.87,Clayey,Pulses,"Rabi, Kharif"
29.55,59.76,Clayey,Wheat,Rabi
24.94,66.7,Sandy,Pulses,"Rabi, Kharif"
21.74,44.09,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
30.28,63.74,Loamy,Pulses,"Rabi, Kharif"
23.22,49.73,Clayey,Pulses,"Rabi, Kharif"
35.79,55.43,Black,Maize,"Kharif, Rabi, Summer"
38.68,77.89,Loamy,Maize,"Kharif, Rabi, Summer"
34.07,60.31,Red,Barley,"Rabi, Kharif, Zaid, Summer"
31.49,71.13,Black,Barley,"Rabi, Kharif, Zaid, Summer"
30.84,59.19,Loamy,Wheat,Rabi
34.3,52.7,Sandy,Wheat,Rabi
31.13,73.3,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
32.15,54.75,Loamy,Cotton,Kharif
24.23,54.91,Loamy,Maize,"Kharif, Rabi, Summer"
28.51,48.44,Black,Cotton,Kharif
33.59,54.6,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
28.74,44.89,Black,Cotton,Kharif
30.34,64.88,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
35.14,69.39,Black,Wheat,Rabi
29.61,55.37,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
39.34,73.55,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
25.49,58.9,Sandy,Maize,"Kharif, Rabi, Summer"
30.35,62.68,Black,Cotton,Kharif
30.84,76.53,Loamy,Cotton,Kharif
29.54,46.05,Clayey,Maize,"Kharif, Rabi, Summer"
29.6,65.96,Sandy,Maize,"Kharif, Rabi, Summer"
32.18,62.78,Loamy,Pulses,"Rabi, Kharif"
37.33,59.48,Clayey,Wheat,Rabi
30.67,50.16,Black,Cotton,Kharif
29.25,53.85,Red,Maize,"Kharif, Rabi, Summer"
26.51,60.56,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
31.93,61.7,Loamy,Pulses,"Rabi, Kharif"
38.76,72.35,Black,Pulses,"Rabi, Kharif"
22.81,48.89,Loamy,Maize,"Kharif, Rabi, Summer"
38.07,62.7,Red,Maize,"Kharif, Rabi, Summer"
24.17,62.74,Black,Wheat,Rabi
37.98,57.42,Loamy,Pulses,"Rabi, Kharif"
32.02,53.18,Sandy,Cotton,Kharif
29.17,59.16,Loamy,Wheat,Rabi
28.05,53.77,Loamy,Pulses,"Rabi, Kharif"
32.12,70.24,Red,Barley,"Rabi, Kharif, Zaid, Summer"
31.52,56.11,Clayey,Pulses,"Rabi, Kharif"
37.61,56.44,Sandy,Maize,"Kharif, Rabi, Summer"
26.71,59.61,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
35.3,65.91,Black,Pulses,"Rabi, Kharif"
23.41,47.11,Sandy,Maize,"Kharif, Rabi, Summer"
30.4,64.62,Clayey,Pulses,"Rabi, Kharif"
27.68,46.99,Black,Barley,"Rabi, Kharif, Zaid, Summer"
29.43,42.86,Clayey,Cotton,Kharif
31.18,55.41,Black,Barley,"Rabi, Kharif, Zaid, Summer"
26.88,60.42,Black,Barley,"Rabi, Kharif, Zaid, Summer"
22.15,54.75,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
29.29,49.2,Red,Cotton,Kharif
26.65,61.13,Loamy,Cotton,Kharif
23.87,50.93,Clayey,Pulses,"Rabi, Kharif"
37.83,58.79,Red,Barley,"Rabi, Kharif, Zaid, Summer"
29.13,67.17,Black,Wheat,Rabi
34.41,62.43,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
29.76,61.14,Black,Pulses,"Rabi, Kharif"
29.54,54.01,Loamy,Pulses,"Rabi, Kharif"
34.72,64.79,Clayey,Maize,"Kharif, Rabi, Summer"
33.47,61.96,Sandy,Pulses,"Rabi, Kharif"
23.84,40.88,Black,Barley,"Rabi, Kharif, Zaid, Summer"
35.5,64.73,Clayey,Pulses,"Rabi, Kharif"
21.44,43.3,Sandy,Cotton,Kharif
34.02,65.9,Clayey,Wheat,Rabi
27.74,58.79,Black,Wheat,Rabi
34.47,62.06,Clayey,Pulses,"Rabi, Kharif"
37.76,59.22,Red,Pulses,"Rabi, Kharif"
33.76,53.8,Black,Wheat,Rabi
40.0,60.45,Black,Cotton,Kharif
36.02,74.78,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
32.78,63.54,Red,Pulses,"Rabi, Kharif"
33.16,56.99,Red,Pulses,"Rabi, Kharif"
32.62,52.77,Red,Maize,"Kharif, Rabi, Summer"
32.78,73.78,Sandy,Wheat,Rabi
30.9,58.59,Black,Barley,"Rabi, Kharif, Zaid, Summer"
29.97,69.39,Red,Pulses,"Rabi, Kharif"
32.78,68.98,Red,Maize,"Kharif, Rabi, Summer"
27.38,50.06,Black,Pulses,"Rabi, Kharif"
27.79,51.33,Loamy,Maize,"Kharif, Rabi, Summer"
28.49,61.78,Sandy,Maize,"Kharif, Rabi, Summer"
26.7,61.16,Black,Wheat,Rabi
32.73,67.1,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
33.44,67.04,Loamy,Pulses,"Rabi, Kharif"
26.88,59.5,Black,Barley,"Rabi, Kharif, Zaid, Summer"
39.78,59.7,Sandy,Pulses,"Rabi, Kharif"
25.07,48.14,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
34.46,67.55,Black,Maize,"Kharif, Rabi, Summer"
30.24,57.35,Black,Maize,"Kharif, Rabi, Summer"
30.01,48.4,Clayey,Cotton,Kharif
32.25,50.03,Clayey,Cotton,Kharif
33.16,66.73,Loamy,Maize,"Kharif, Rabi, Summer"
27.12,58.16,Black,Cotton,Kharif
24.73,51.53,Loamy,Wheat,Rabi
29.05,63.39,Loamy,Wheat,Rabi
28.36,52.45,Red,Pulses,"Rabi, Kharif"
37.97,57.61,Loamy,Wheat,Rabi
31.75,49.36,Clayey,Wheat,Rabi
39.48,79.62,Red,Maize,"Kharif, Rabi, Summer"
32.2,72.21,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
33.52,56.48,Sandy,Wheat,Rabi
35.4,66.88,Clayey,Pulses,"Rabi, Kharif"
22.59,56.96,Red,Barley,"Rabi, Kharif, Zaid, Summer"
24.38,52.1,Black,Wheat,Rabi
26.32,57.42,Clayey,Pulses,"Rabi, Kharif"
26.66,68.27,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
20.3,54.28,Red,Pulses,"Rabi, Kharif"
25.23,45.43,Black,Cotton,Kharif
30.06,63.8,Red,Maize,"Kharif, Rabi, Summer"
38.04,64.69,Clayey,Pulses,"Rabi, Kharif"
30.02,65.59,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
30.26,44.92,Black,Cotton,Kharif
29.99,69.45,Loamy,Pulses,"Rabi, Kharif"
25.88,62.12,Black,Maize,"Kharif, Rabi, Summer"
31.89,67.32,Loamy,Maize,"Kharif, Rabi, Summer"
31.8,60.45,Black,Barley,"Rabi, Kharif, Zaid, Summer"
38.31,61.97,Sandy,Cotton,Kharif
21.89,47.55,Clayey,Cotton,Kharif
30.6,60.9,Red,Wheat,Rabi
37.85,64.18,Sandy,Cotton,Kharif
35.25,55.27,Loamy,Cotton,Kharif
32.92,51.51,Black,Pulses,"Rabi, Kharif"
39.3,71.67,Sandy,Pulses,"Rabi, Kharif"
33.84,67.09,Clayey,Wheat,Rabi
30.96,55.9,Red,Wheat,Rabi
33.1,57.5,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
26.16,59.25,Sandy,Cotton,Kharif
29.98,56.89,Loamy,Maize,"Kharif, Rabi, Summer"
36.91,73.2,Red,Maize,"Kharif, Rabi, Summer"
34.0,73.7,Sandy,Maize,"Kharif, Rabi, Summer"
32.22,54.23,Black,Barley,"Rabi, Kharif, Zaid, Summer"
26.65,56.41,Loamy,Wheat,Rabi
26.9,42.45,Loamy,Wheat,Rabi
30.49,55.56,Loamy,Wheat,Rabi
26.11,58.64,Clayey,Cotton,Kharif
28.63,63.42,Sandy,Wheat,Rabi
22.6,60.21,Sandy,Wheat,Rabi
25.6,54.32,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
34.54,63.82,Clayey,Cotton,Kharif
25.51,66.21,Black,Barley,"Rabi, Kharif, Zaid, Summer"
24.4,60.18,Black,Pulses,"Rabi, Kharif"
32.06,46.96,Sandy,Maize,"Kharif, Rabi, Summer"
24.3,54.99,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
29.47,59.72,Red,Wheat,Rabi
24.26,61.88,Clayey,Maize,"Kharif, Rabi, Summer"
27.6,56.81,Sandy,Pulses,"Rabi, Kharif"
23.84,61.45,Sandy,Pulses,"Rabi, Kharif"
36.45,68.49,Loamy,Maize,"Kharif, Rabi, Summer"
27.41,49.33,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
30.29,48.59,Sandy,Pulses,"Rabi, Kharif"
26.52,49.7,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
29.97,57.71,Clayey,Pulses,"Rabi, Kharif"
29.01,57.85,Sandy,Pulses,"Rabi, Kharif"
24.66,59.3,Clayey,Cotton,Kharif
36.61,57.83,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
24.68,45.27,Clayey,Pulses,"Rabi, Kharif"
20.7,52.06,Red,Cotton,Kharif
30.81,65.77,Black,Maize,"Kharif, Rabi, Summer"
33.28,70.59,Black,Barley,"Rabi, Kharif, Zaid, Summer"
28.27,69.62,Sandy,Cotton,Kharif
33.61,68.82,Clayey,Maize,"Kharif, Rabi, Summer"
31.15,66.9,Sandy,Cotton,Kharif
23.02,62.92,Black,Pulses,"Rabi, Kharif"
25.53,52.01,Clayey,Cotton,Kharif
29.52,46.94,Red,Cotton,Kharif
31.28,59.63,Clayey,Maize,"Kharif, Rabi, Summer"
27.39,58.57,Black,Pulses,"Rabi, Kharif"
34.81,77.03,Red,Pulses,"Rabi, Kharif"
36.68,59.35,Clayey,Wheat,Rabi
33.98,50.38,Sandy,Maize,"Kharif, Rabi, Summer"
35.25,65.6,Red,Cotton,Kharif
21.66,44.54,Black,Wheat,Rabi
27.7,51.81,Sandy,Maize,"Kharif, Rabi, Summer"
31.64,58.28,Sandy,Maize,"Kharif, Rabi, Summer"
30.89,46.85,Clayey,Pulses,"Rabi, Kharif"
35.7,57.43,Red,Cotton,Kharif
33.87,54.76,Loamy,Pulses,"Rabi, Kharif"
38.13,56.75,Loamy,Wheat,Rabi
29.65,57.73,Loamy,Cotton,Kharif
28.82,53.07,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
33.86,71.98,Clayey,Pulses,"Rabi, Kharif"
34.71,71.46,Red,Maize,"Kharif, Rabi, Summer"
28.71,61.58,Sandy,Maize,"Kharif, Rabi, Summer"
26.71,56.92,Red,Wheat,Rabi
36.76,71.56,Clayey,Cotton,Kharif
30.13,58.46,Loamy,Pulses,"Rabi, Kharif"
26.65,56.89,Black,Maize,"Kharif, Rabi, Summer"
32.06,55.75,Loamy,Wheat,Rabi
24.12,52.17,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
24.26,56.62,Loamy,Pulses,"Rabi, Kharif"
27.33,58.93,Loamy,Wheat,Rabi
24.32,64.62,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
26.56,61.21,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
28.84,59.5,Red,Wheat,Rabi
26.17,51.76,Loamy,Maize,"Kharif, Rabi, Summer"
27.2,62.82,Clayey,Maize,"Kharif, Rabi, Summer"
32.31,63.38,Loamy,Maize,"Kharif, Rabi, Summer"
36.46,63.12,Black,Pulses,"Rabi, Kharif"
22.84,59.33,Clayey,Wheat,Rabi
34.47,55.51,Clayey,Cotton,Kharif
38.03,72.22,Red,Barley,"Rabi, Kharif, Zaid, Summer"
27.72,44.26,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
32.64,48.78,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
31.33,55.22,Sandy,Cotton,Kharif
32.63,64.09,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
30.75,52.41,Loamy,Maize,"Kharif, Rabi, Summer"
27.82,48.81,Black,Pulses,"Rabi, Kharif"
31.47,62.21,Black,Maize,"Kharif, Rabi, Summer"
